IIIIIIIIIII

#Sophia: 1:09 (0:51)
Zane: 0:56 (0:41)
#Nicky: 1:13 (0:55)
//Nicholas: 0:41 (0:38)
Sebastien: 0:48 (0:30)
Axel: 0:43 (0:25)
//Charlie: 0:29 (0:20)
Thor: 0:43 (0:28)
Hudson: 0:49 (0:25)
//Logan: 0:39 (0:27)
//River: 0:29 (0:26)
#Will: 1:26 (0:56)

//Charlie: 0:29 (0:20)
//River: 0:29 (0:26)
//Logan: 0:39 (0:27)
//Nicholas: 0:41 (0:38)
Axel: 0:43 (0:25)
Thor: 0:43 (0:28)
Sebastien: 0:48 (0:30)
Hudson: 0:49 (0:25)
Zane: 0:56 (0:41)



_________________________
c2:



1ZANE: W8B6T17.41 - 27.41
2ZANE: W4B7T14.93 - *21.26

1HUDSON: W1B5T14.08 - *16.75
2HUDSON: W5B3T16.97 - 22.97

1SEBASTIEN: W4B12T14.14 - 22.14
2SEBASTIEN: W2B0T12.68 - *14.68

1THOR: W0B10T13.16 - 16.49
2THOR: W3B0T13.21 - *16.21

1AXEL: W2B4T13.56 - *15.56
2AXEL: W3B3T8.25 - 16.31

1NICHOLAS: W3B0T16.14 - 19.14
2NICHOLAS: W1B3T14.06 - *16.06

1LOGAN: W7B13T25.28 - 36.61
2LOGAN: W2B0T19.12 - *21.12

1RIVER: W4B7T13.86 - *17.86
2RIVER: W3B4T17.49 - 19.82

1CHARLIE: W1B011.40 - 12.40
2CHARLIE: W0B0T9.47 - *9.47



2CHARLIE: W0B0T9.47 - *9.47
2SEBASTIEN: W2B0T12.68 - *14.68
1AXEL: W2B4T13.56 - *15.56
2NICHOLAS: W1B3T14.06 - *16.06
2THOR: W3B0T13.21 - *16.21
1HUDSON: W1B5T14.08 - *16.75
-----------------------------
1RIVER: W4B7T13.86 - *17.86
2LOGAN: W2B0T19.12 - *21.12
2ZANE: W4B7T14.93 - *21.26
